Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Polaris work item link),Outward issue link (Polaris work item link),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Category),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Flagged),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
SF - Review the status of ORBIS Cases Development,ORBIS-832,18594,Task,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,Done,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,27/Feb/26 4:55 AM,03/Mar/26 10:27 AM,,03/Mar/26 10:27 AM,,0,No-QA-Required,,"Review the status of ORBIS Cases Development.

Salesforce Link:
[https://orbiscompliance.lightning.force.com/lightning/o/ORBIS_Cases_Development__c/list?filterName=All|https://orbiscompliance.lightning.force.com/lightning/o/ORBIS_Cases_Development__c/list?filterName=All]

AC:

* Prepare a excel file
* Review the status
* Math with Orbis Cases
* Share this cases with Gilmar and Elizabeth",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009jm:,ORBIS Sprint 9,,,,,8.0,,,"27/Feb/26 5:17 AM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;Exel file, ORBIS Cases Development:
[Development-Cases.xlsx|https://orbiscompliancellc-my.sharepoint.com/:x:/g/personal/gbolanos_orbiscompliance_com/IQDSHtMcEgGTTb1GVIbK6LaPAQhp_fBlhzzz0Zak3uhY9Wo?wdOrigin=TEAMS-MAGLEV.p2p_ns.rwc&wdExp=TEAMS-TREATMENT&wdhostclicktime=1772197227439&web=1]

This Excel file needs to be shown to Gilmar and Elizabeth at the IT and development meeting.",,,,,,,14269,ORBIS-554,Salesforce Cases,Done,03/Mar/26 10:27 AM
Display properly the Owner in the records,ORBIS-831,18561,Subtask,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,Done,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,26/Feb/26 5:53 AM,26/Feb/26 7:50 AM,,26/Feb/26 7:50 AM,,0,,,,,Fernando Rodriguez,,,,,5f2ddfb0c1b9f4001cdc43c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009je:,ORBIS Sprint 9,,,,,3.0,,,,,,,,,,18355,ORBIS-822,"FIT [5] – Assign OWNER Equal to OC Owner in Projects, Milestones, and Tasks",Done,26/Feb/26 7:50 AM
Defect: Problem with the unnassigned Template for one country with several services,ORBIS-830,18527,Bug,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,Done,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,26/Feb/26 5:07 AM,09/Mar/26 7:00 AM,,04/Mar/26 4:50 AM,,0,,,"*Description:*

When a service for a country has only one template, the template is set automatically. But when the user tries to set the Unnasigned template 2 assignments are displayed for the country.

* [https://orbiscompliance--dev24.sandbox.lightning.force.com/lightning/r/MPM4_BASE__Milestone1_Program__c/a0fRu000009wqFZIAY/view|https://orbiscompliance--dev24.sandbox.lightning.force.com/lightning/r/MPM4_BASE__Milestone1_Program__c/a0fRu000009wqFZIAY/view]

*Requirements:*

* Have a quote with a service with a unique template that should be assigned automatically and other services with more than one templates

*Steps:*

# Login to the SF application.
# Go to the program of the quote mentioned previously.
# Expand the Quote Line Items Summary
# Click to Set and set the Unnasigned Template

*Attachment:*

!Screenshot 2026-02-26 at 9.15.15 AM.png|width=922,alt=""Screenshot 2026-02-26 at 9.15.15 AM.png""!





*Actual Result:*

Two templates are assigned

*Expected Result:*

Only one template should be displayed",,Diego Fernando Sivila Ramirez,,,,,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/Feb/26 5:16 AM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-02-26 at 9.15.15 AM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzy:zzzzzzzz,ORBIS Sprint 9,,,,,,,,,,,,,,,12336,ORBIS-146,Programs Project,Done,04/Mar/26 4:50 AM
Make updates to improve the OC Users filtering to offer properly owners to assign projects.,ORBIS-829,18494,Subtask,QA,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,25/Feb/26 11:12 AM,26/Feb/26 5:48 AM,,,,0,No-QA-Required,,,,Fernando Rodriguez,,,,,5f2ddfb0c1b9f4001cdc43c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009iy:,ORBIS Sprint 9,,,,,5.0,,,,,,,,,,18356,ORBIS-823,FIT [6] – Add New Owners to Programs and Review Permissions,In Progress,25/Feb/26 12:39 PM
Change the OWNER of the template tasks.,ORBIS-828,18460,Subtask,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,Done,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,25/Feb/26 10:30 AM,26/Feb/26 3:28 PM,,26/Feb/26 3:28 PM,,0,,,"The tasks in the “Project Kickoff” milestone that contain the word “payment” must always be assigned to Finance, in this case to Jessica Florence.


!image-20260225-183058.png|width=1308,alt=""image-20260225-183058.png""!",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/Feb/26 10:31 AM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260225-183058.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16345,25/Feb/26 12:25 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260225-202423.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009iq:,ORBIS Sprint 9,,,,,,,,"25/Feb/26 12:25 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;All task with name:

|Send payment to agents|
|Records payment on Quickbooks and uploads to Milestones expenses|

were changed the Owner & OC Owner to Jessica Florence.

!image-20260225-202423.png|width=1286,alt=""image-20260225-202423.png""!","25/Feb/26 12:26 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;This projects don't have these task in the Project Kickoff Milestone. 

I shared this list with Owner responsable to check them

|Template_Code__c|Name|Certification_Type__c|Certification_Process__c|URL|Owner|Status|
|BRAMED01|Sanitizing Product Registration - Anvisa - Brazil|Medical|Document Revision|[Medical Templates Report- Multicountry.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQAXcuLEUO99QoAfghBd6t6nAZJCQQGAroNPULlRyWQkbxs?e=KdzIYK]|Andres|DONE|
|BRAMED02|Sanitary Registry of Suplements - Anvisa - Brazil|Medical|Document Revision|[Medical Templates Report- Multicountry.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQAXcuLEUO99QoAfghBd6t6nAZJCQQGAroNPULlRyWQkbxs?e=KdzIYK]|Andres|DONE|
|BRAMED03|Sanitary Registry of Cosmetics - Anvisa - Brazil|Medical|Document Revision|[Medical Templates Report- Multicountry.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQAXcuLEUO99QoAfghBd6t6nAZJCQQGAroNPULlRyWQkbxs?e=KdzIYK]|Andres|DONE|
|BRAMED04|Sanitary Registry of MD - CLASS I; II; III - Anvisa - Brazil|Medical|Document Revision|[Medical Templates Report- Multicountry.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQAXcuLEUO99QoAfghBd6t6nAZJCQQGAroNPULlRyWQkbxs?e=KdzIYK]|Andres|DONE|
|MEXTEL01|Telecom Mexico (Testing)|Telecom|Testing|[Milestone Templates Telecom Mexico1.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQCWHLXYsHLgR5TTMBwo-FaPAQCs7q2Hzb5pDtNYV7wypeM?e=pwuzhl]|Dannia Rodriguez|DONE|
|MEXTEL02|Telecom Mexico (Testing)|Telecom|Testing|[Milestone Templates Telecom Mexico1.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQCWHLXYsHLgR5TTMBwo-FaPAQCs7q2Hzb5pDtNYV7wypeM?e=pwuzhl]|Dannia Rodriguez|DONE|
|MEXTEL03|Telecom Mexico|Telecom|Testing|[Milestone Templates Telecom Mexico1.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQCWHLXYsHLgR5TTMBwo-FaPAQCs7q2Hzb5pDtNYV7wypeM?e=pwuzhl]|Dannia Rodriguez|DONE|
|MEXTEL04|Telecom Mexico (Testing)|Telecom|Testing|[Milestone Templates Telecom Mexico1.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQCWHLXYsHLgR5TTMBwo-FaPAQCs7q2Hzb5pDtNYV7wypeM?e=pwuzhl]|Dannia Rodriguez|DONE|
|MEXTEL05|Telecom Mexico (Documentation)|Telecom|Document Revision|[Milestone Templates Telecom Mexico1.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQCWHLXYsHLgR5TTMBwo-FaPAQCs7q2Hzb5pDtNYV7wypeM?e=pwuzhl]|Dannia Rodriguez|DONE|
|MEXTEL06|Telecom Mexico (Documentation)|Telecom|Document Revision|[Milestone Templates Telecom Mexico1.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQCWHLXYsHLgR5TTMBwo-FaPAQCs7q2Hzb5pDtNYV7wypeM?e=pwuzhl]|Dannia Rodriguez|DONE|
|MEXTEL07|Telecom Mexico (Documentation)|Telecom|Document Revision|[Milestone Templates Telecom Mexico1.xlsx|https://orbiscompliancellc.sharepoint.com/:x:/s/ORBIS-Transformation-SalesforcePrograms/IQCWHLXYsHLgR5TTMBwo-FaPAQCs7q2Hzb5pDtNYV7wypeM?e=pwuzhl]|Dannia Rodriguez|DONE|",,,,,,18355,ORBIS-822,"FIT [5] – Assign OWNER Equal to OC Owner in Projects, Milestones, and Tasks",Done,26/Feb/26 3:28 PM
Verify accessibility of the recently granted permissions,ORBIS-827,18426,Subtask,QA,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,25/Feb/26 8:12 AM,26/Feb/26 5:48 AM,,,,0,No-QA-Required,,Verify accessibility with the user accounts by Marina Simoes and Jose Rodriguez,,Fernando Rodriguez,,,,,5f2ddfb0c1b9f4001cdc43c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009ii:,ORBIS Sprint 9,,,,,3.0,,,"25/Feb/26 11:09 AM;5f2ddfb0c1b9f4001cdc43c3;* The case of Marina, already setup, but it was required actions coordinated with Gilmar, actions include make sharing manual of the templates.
* The case of Jose, already setup, but the check was delegated to Roberto, because we don’t have access to this user account. ",,,,,,,18356,ORBIS-823,FIT [6] – Add New Owners to Programs and Review Permissions,In Progress,25/Feb/26 10:58 AM
Give permissions and setup profiles,ORBIS-826,18424,Subtask,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,High,Done,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,25/Feb/26 8:10 AM,25/Feb/26 11:17 AM,,25/Feb/26 10:58 AM,,0,No-QA-Required,,,,Fernando Rodriguez,,,,,5f2ddfb0c1b9f4001cdc43c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009ia:,ORBIS Sprint 9,,,,,3.0,,,"25/Feb/26 11:17 AM;5f2ddfb0c1b9f4001cdc43c3;This needs extra actions to give to this user/profile the ability to set the template to use. Due the profile needs access to READ all Templates or at least Brazil Templates, to accomplish this, we coordinate with Gilmar that him will share manually the Brazil Templates to operations team 3.",,,,,,,18356,ORBIS-823,FIT [6] – Add New Owners to Programs and Review Permissions,Done,25/Feb/26 10:58 AM
DEFECT: The logs are displayed duplicated when the record is saved without modifications,ORBIS-825,18390,Bug,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,Done,Juan Quispe,712020:8bed8d8d-8a55-42b7-b3c8-8062e9fcedef,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,24/Feb/26 5:55 PM,20/Mar/26 1:31 PM,,20/Mar/26 1:31 PM,,0,,,"*Description:*

When an updated record is edited, but the user does not modify the values and save the edition the last modification record displayed in the logs section is duplicated.

*Requirements:*

* Have valid credentials.
* Have an updated product record already assigned.

*Steps:*

# Log in to the application.
# Go to the Update Products section.
# Click on the Details button.
# Click on the Edit button.
# Without modifications, click on the Save button.

*Attachment:*

!Screenshot 2026-02-24 at 10.00.33 PM.png|width=922,alt=""Screenshot 2026-02-24 at 10.00.33 PM.png""!



*Actual Result:*

The record is duplicated.

*Expected Result:*

The record should not be duplicated",,Diego Fernando Sivila Ramirez,,,,,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/Feb/26 6:01 PM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-02-24 at 10.00.33 PM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i006ip:shhqzzz,ORBIS Sprint 9,,,,,,,,,,,,,,,16592,ORBIS-694,Price List,Done,20/Mar/26 1:31 PM
FIT [7] – Review Hours Budget Assignment During Project Creation,ORBIS-824,18357,Task,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Highest,Done,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,24/Feb/26 2:58 PM,27/Feb/26 8:03 AM,,27/Feb/26 8:03 AM,,0,,,"*Document:* [Final Usar Testing - Gilmar.docx|https://orbiscompliancellc.sharepoint.com/:w:/s/ORBISDevelopment-OIS/IQD0pxwCbR6LQIgYp2EQZsXwAa6e9zIfVvuUr3e_WduQqmE?e=6coTOV]
*Feedback Number:* 6

Review the assignment of the *Hours Budget* field during project creation.
The hours must come from the quotation and be automatically assigned to the project at creation time.

*Roberto Says:*

{quote} “En la Creacion del Proyecto de Oracle, 7600799, HSE Dictum, Mex,Sing,Neth,USA, Mala 2026
Me marco como Lead Time de 2 Semanas pero sin Hours Budget se tubo que poner manualmente de un dictum

· En la Creacion del Proyecto de Lutron RRST-ANF, HRST-ANF, ARST-ANF Renewal, Brazil 2026
Me marco como Lead Time de 5 Semanas pero sin Hours Budget se tubo que poner manualmente de un Renewal
”{quote}

!image-20260224-230059.png|width=265,alt=""image-20260224-230059.png""!

!image-20260224-230104.png|width=265,alt=""image-20260224-230104.png""!",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/Feb/26 3:01 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-230059.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16245,24/Feb/26 3:01 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-230104.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16246,26/Feb/26 5:44 AM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260226-134430.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009hu:,ORBIS Sprint 9,,,,,8.0,,,"26/Feb/26 5:44 AM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;The problem was reviwed with Gilmar, Roberto, Fernando and me, and it was solved.

Roberto needs to do several test to validate if this issue was fixed.

!image-20260226-134430.png|width=224,alt=""image-20260226-134430.png""!",,,,,,,12336,ORBIS-146,Programs Project,Done,27/Feb/26 8:03 AM
FIT [6] – Add New Owners to Programs and Review Permissions,ORBIS-823,18356,Task,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Highest,Done,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,24/Feb/26 2:56 PM,27/Feb/26 6:28 AM,,27/Feb/26 6:28 AM,,0,No-QA-Required,,"*Document:* [Final Usar Testing - Gilmar.docx|https://orbiscompliancellc.sharepoint.com/:w:/s/ORBISDevelopment-OIS/IQD0pxwCbR6LQIgYp2EQZsXwAa6e9zIfVvuUr3e_WduQqmE?e=6coTOV]
*Feedback Number:* 5, 7

Add new users to the Owners list in Programs and review access permissions.

*Roberto Says:*

{quote}“En la Lista de & Notifi Owner Faltan las Personas de Jose Rodriguez, Marcelo Tejeda, Marina Simoes y Rafael Bragante se necasita añadir para que Karen realize la Asignacion de Proyectos a esas personas ”{quote}

!image-20260224-225723.png|width=76,alt=""image-20260224-225723.png""!

{quote}“Marina Simoes no puede ingresar a Programs para la creacion de proyectos sale esta pantalla con este mensaje. ”{quote}

!image-20260224-225734.png|width=265,alt=""image-20260224-225734.png""!

h3. AC:

* Add the mentioned users.
* Grant Marina permissions to view Programs and create projects.",,Fernando Rodriguez,Saul Mamani,,,,5f2ddfb0c1b9f4001cdc43c3,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/Feb/26 2:58 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-225723.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16244,24/Feb/26 2:58 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-225734.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009hm:,ORBIS Sprint 9,,,,,5.0,,,"26/Feb/26 5:50 AM;5f2ddfb0c1b9f4001cdc43c3;I wrote comments in the subtasks.

Also the QA of this task and subtasks currently are performed by me and Roberto.",,,,,,,12336,ORBIS-146,Programs Project,Done,27/Feb/26 6:28 AM
"FIT [5] – Assign OWNER Equal to OC Owner in Projects, Milestones, and Tasks",ORBIS-822,18355,Task,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Highest,Done,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,24/Feb/26 2:51 PM,27/Feb/26 6:09 AM,,27/Feb/26 6:09 AM,,0,No-QA-Required,,"*Document:* [Final Usar Testing - Gilmar.docx|https://orbiscompliancellc.sharepoint.com/:w:/s/ORBISDevelopment-OIS/IQD0pxwCbR6LQIgYp2EQZsXwAa6e9zIfVvuUr3e_WduQqmE?e=6coTOV]
*Feedback Number:* 1, 3

h3. 📝 Description

When creating a project, the *Owner* field must be equal to the *OC Owner*.
This same logic must also apply to Milestones and Tasks.

*Roberto Says:*

{quote}* Al crear el proyecto El Owner tiene que ser la misma persona del OC Owner, igual en los Milestones y task.
* Al crear el proyecto pone los Fields de OC Finance2 - Oc Point of Concat 2 – OC Account Manager - OC Renewal Owner2 del OC Workteam
* Tambien en el Record Type no indica si es Document Revision o Testing{quote}

!image-20260224-225340.png|width=218,alt=""image-20260224-225340.png""!

!image-20260224-225346.png|width=258,alt=""image-20260224-225346.png""!



{quote}“En los milestones el Owner esta por Defecto Orbis Compliance LLC y en los Task esta asigandos a Orbis Compliance LLC esos campos tendrias ue ser iguales al OC Owner para no tener que realizar manualmante ese Cambio ya que son muchos cambios manuales ”{quote}

!image-20260224-225359.png|width=265,alt=""image-20260224-225359.png""!",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/Feb/26 2:54 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-225340.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16242,24/Feb/26 2:54 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-225346.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16241,24/Feb/26 2:54 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-225359.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009he:,ORBIS Sprint 9,,,,,5.0,,,,,,,,,,12336,ORBIS-146,Programs Project,Done,27/Feb/26 6:09 AM
FIT [3] – Add Template Preview When Creating Projects,ORBIS-821,18354,Task,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Highest,Done,Ruben Orellana Gutierrez,712020:56472b32-05f9-4cf4-8890-dfc424324468,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,24/Feb/26 2:47 PM,27/Feb/26 8:43 AM,,27/Feb/26 8:43 AM,,0,,,"Add a button to preview the milestones of the selected template during project creation.

!image-20260224-224733.png|width=265,alt=""image-20260224-224733.png""!

When clicking “View Details”, display a reduced view including:

* Milestone
* Number
* Lead Time
* Critical Path

!image-20260224-224747.png|width=265,alt=""image-20260224-224747.png""!",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/Feb/26 2:47 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-224733.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16237,24/Feb/26 2:47 PM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260224-224747.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/16236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009gy:,ORBIS Sprint 9,,,,,8.0,,,,,,,,,,12336,ORBIS-146,Programs Project,Done,27/Feb/26 8:43 AM
FIT [2] – IT Template UI Customization,ORBIS-820,18353,Task,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Highest,Done,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,24/Feb/26 2:45 PM,26/Feb/26 12:37 PM,,26/Feb/26 12:37 PM,,0,No-QA-Required,,"Customize the layout of IT Templates to display template-specific information (newly added fields).

In the Milestones section, display the intermediate table *Milestone_Lead_Time__c* in a visible section.",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i009gq:,ORBIS Sprint 9,,,,,5.0,,,,,,,,,,12336,ORBIS-146,Programs Project,Done,26/Feb/26 12:37 PM
